candidate_id,name,current_title,current_industry,years_of_experience,current_location,education,skills,open_to_work,notice_period_days,recruiter_response_rate,willing_to_relocate,github_commits,certifications_count,headline,summary
cand_ai_011,Candidate AI 11,Lead AI Engineer,Technology,10,Pune,B.Tech in Computer Science from Carnegie Mellon University,"pytorch, vector embeddings, scikit-learn, git, tensorflow, weaviate, numpy",True,60,0.71,True,385,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_012,Candidate AI 12,Lead AI Engineer,Technology,8,Gurgaon,B.E. in Information Technology from MIT,"llms, pandas, rag systems, sql, nlp, semantic search, fastapi, weaviate, docker, numpy, pinecone, deep learning",False,15,0.95,False,612,1,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_013,Candidate AI 13,ML Engineer,Technology,4,Noida,B.Tech in Computer Science from IIT Madras,"numpy, sql, llms, python, scikit-learn, faiss, tensorflow, docker, qdrant, pytorch, nlp, git",True,15,0.87,False,7,0,ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 4 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_014,Candidate AI 14,ML Engineer,Technology,4,Pune,M.Tech in Artificial Intelligence from IIT Madras,"llms, tensorflow, rag systems, nlp, python, faiss, git, docker, machine learning, pandas, transformers",False,60,0.82,True,456,0,ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 4 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_015,Candidate AI 15,Senior AI Engineer,Technology,6,Bangalore,B.E. in Information Technology from BITS Pilani,"nlp, sql, pytorch, transformers, scikit-learn, vector embeddings, python, git, pandas, docker, llms, aws",False,60,0.85,False,455,2,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 6 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_016,Candidate AI 16,Senior AI Engineer,Technology,6,Bangalore,M.Tech in Artificial Intelligence from VIT University,"git, docker, scikit-learn, qdrant, nlp, vector embeddings",True,45,0.78,False,506,0,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 6 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_017,Candidate AI 17,Senior AI Engineer,Technology,7,Delhi,Dual Degree (B.Tech + M.Tech) in CS from IIT Delhi,"llms, scikit-learn, nlp, machine learning, deep learning, fastapi, pinecone, git, transformers",True,60,0.71,True,261,0,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 7 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_018,Candidate AI 18,ML Engineer,Technology,4,Gurgaon,Dual Degree (B.Tech + M.Tech) in CS from Stanford University,"numpy, sql, pandas, semantic search, faiss, python",False,30,0.58,False,439,0,ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 4 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_019,Candidate AI 19,Lead AI Engineer,Technology,11,Delhi,M.S. in Computer Science from Carnegie Mellon University,"llms, python, weaviate, pytorch, vector embeddings, sql, qdrant, faiss, deep learning, rag systems, numpy, semantic search",False,60,0.66,True,519,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_020,Candidate AI 20,Lead AI Engineer,Technology,10,Pune,B.Tech in Computer Science from BITS Pilani,"python, machine learning, deep learning, llms, rag systems, fastapi",True,60,0.56,True,1488,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_021,Candidate AI 21,Lead AI Engineer,Technology,11,Mumbai,Dual Degree (B.Tech + M.Tech) in CS from IIT Madras,"tensorflow, numpy, machine learning, llms, rag systems, semantic search, deep learning, aws, qdrant, scikit-learn",False,15,0.8,True,782,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_022,Candidate AI 22,Senior AI Engineer,Technology,5,Chennai,B.Tech in Computer Science from Stanford University,"python, pytorch, sql, weaviate, qdrant, vector embeddings, nlp, fastapi, semantic search, git, llms, scikit-learn",False,30,0.59,True,187,0,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 5 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_023,Candidate AI 23,Senior AI Engineer,Technology,7,Pune,M.Tech in Artificial Intelligence from IIT Delhi,"numpy, git, docker, rag systems, aws, llms, pandas",True,0,0.54,False,708,0,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 7 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_024,Candidate AI 24,Senior AI Engineer,Technology,6,Mumbai,B.E. in Information Technology from Carnegie Mellon University,"faiss, pandas, tensorflow, llms, rag systems, qdrant, semantic search, numpy, sql, git, docker",True,90,0.83,False,896,2,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 6 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_025,Candidate AI 25,ML Engineer,Technology,4,Hyderabad,M.S. in Computer Science from IIIT Hyderabad,"llms, pytorch, qdrant, fastapi, python, numpy, pandas, deep learning, git",True,15,0.71,False,314,0,ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 4 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_026,Candidate AI 26,Lead AI Engineer,Technology,11,Gurgaon,B.Tech in Computer Science from MIT,"deep learning, transformers, docker, pytorch, pinecone, numpy, faiss",False,30,0.63,False,704,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_027,Candidate AI 27,Lead AI Engineer,Technology,8,Noida,Dual Degree (B.Tech + M.Tech) in CS from Delhi Technological University,"machine learning, docker, sql, numpy, qdrant, pytorch, pinecone, semantic search",True,30,0.52,True,108,1,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_028,Candidate AI 28,Senior AI Engineer,Technology,5,Chennai,B.Tech in Computer Science from Stanford University,"pinecone, pandas, llms, vector embeddings, docker, deep learning, sql, python, fastapi, pytorch, tensorflow",True,45,0.58,True,1334,0,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 5 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_029,Candidate AI 29,Lead AI Engineer,Technology,8,Gurgaon,M.S. in Computer Science from IIT Bombay,"rag systems, docker, pandas, sql, fastapi, git, aws, qdrant, python, tensorflow",False,90,0.91,False,22,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_030,Candidate AI 30,Senior AI Engineer,Technology,2,Delhi,M.S. in Computer Science from IIT Delhi,"aws, fastapi, git, deep learning, transformers, pandas, tensorflow, docker, weaviate",True,15,0.94,False,420,1,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 5 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_031,Candidate AI 31,Lead AI Engineer,Technology,11,Hyderabad,B.Tech in Computer Science from VIT University,"llms, semantic search, docker, machine learning, nlp, sql, transformers",True,60,0.54,True,770,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_032,Candidate AI 32,Lead AI Engineer,Technology,9,Mumbai,M.S. in Computer Science from BITS Pilani,"transformers, machine learning, weaviate, pytorch, llms, tensorflow, qdrant",True,45,0.67,True,844,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 9 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_033,Candidate AI 33,ML Engineer,Technology,4,Hyderabad,Dual Degree (B.Tech + M.Tech) in CS from MIT,"semantic search, scikit-learn, deep learning, pandas, tensorflow, qdrant, pytorch, fastapi, vector embeddings, docker, weaviate, git",True,30,0.73,True,10,1,ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 4 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_034,Candidate AI 34,Lead AI Engineer,Technology,10,Mumbai,B.E. in Information Technology from MIT,"git, semantic search, numpy, aws, docker, rag systems, machine learning, scikit-learn, qdrant, sql, weaviate, tensorflow",True,15,0.78,True,583,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_035,Candidate AI 35,Lead AI Engineer,Technology,10,Hyderabad,Dual Degree (B.Tech + M.Tech) in CS from BITS Pilani,"semantic search, docker, rag systems, fastapi, qdrant, llms, pytorch",False,90,0.6,False,476,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_036,Candidate AI 36,Lead AI Engineer,Technology,8,Pune,B.Tech in Computer Science from BITS Pilani,"vector embeddings, scikit-learn, qdrant, fastapi, pytorch, git",False,15,0.87,False,400,1,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_037,Candidate AI 37,ML Engineer,Technology,4,Chennai,M.S. in Computer Science from IIT Delhi,"faiss, qdrant, sql, numpy, docker, scikit-learn",True,15,0.95,False,781,0,ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 4 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_038,Candidate AI 38,Lead AI Engineer,Technology,11,Noida,M.Tech in Artificial Intelligence from VIT University,"nlp, scikit-learn, numpy, tensorflow, sql, llms",False,30,0.99,True,682,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_039,Candidate AI 39,Lead AI Engineer,Technology,11,Gurgaon,B.Tech in Computer Science from MIT,"numpy, deep learning, pinecone, weaviate, sql, nlp, qdrant",False,45,0.75,True,188,2,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_040,Candidate AI 40,Lead AI Engineer,Technology,10,Pune,Dual Degree (B.Tech + M.Tech) in CS from BITS Pilani,"python, machine learning, deep learning, llms, rag systems, fastapi",False,90,0.6,False,1128,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_041,Candidate AI 41,Lead AI Engineer,Technology,11,Hyderabad,M.S. in Computer Science from Carnegie Mellon University,"pinecone, aws, pytorch, transformers, faiss, tensorflow, qdrant, deep learning, machine learning, numpy, sql, vector embeddings",False,15,0.6,False,471,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 11 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_042,Candidate AI 42,Lead AI Engineer,Technology,8,Noida,Dual Degree (B.Tech + M.Tech) in CS from Carnegie Mellon University,"aws, sql, scikit-learn, vector embeddings, docker, nlp",True,60,0.77,True,256,1,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_043,Candidate AI 43,Lead AI Engineer,Technology,9,Noida,M.S. in Computer Science from MIT,"faiss, pinecone, pandas, nlp, git, deep learning",False,0,0.83,False,362,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 9 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_044,Candidate AI 44,Senior AI Engineer,Technology,7,Bangalore,M.Tech in Artificial Intelligence from IIT Madras,"aws, transformers, semantic search, llms, vector embeddings, deep learning, nlp, git, pytorch",True,90,0.94,True,1134,0,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 7 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_045,Candidate AI 45,Lead AI Engineer,Technology,10,Gurgaon,M.Tech in Artificial Intelligence from MIT,"git, aws, numpy, deep learning, weaviate, nlp, semantic search",False,90,0.68,False,26,1,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_046,Candidate AI 46,Lead AI Engineer,Technology,8,Mumbai,B.Tech in Computer Science from MIT,"faiss, qdrant, transformers, fastapi, pandas, nlp",False,15,0.9,True,310,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_047,Candidate AI 47,Lead AI Engineer,Technology,8,Chennai,M.S. in Computer Science from Delhi Technological University,"pandas, aws, weaviate, deep learning, docker, transformers, rag systems",False,45,0.66,False,405,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 8 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_048,Candidate AI 48,Lead AI Engineer,Technology,10,Noida,B.Tech in Computer Science from VIT University,"pytorch, faiss, pandas, nlp, scikit-learn, machine learning, llms, git, deep learning, weaviate, sql",False,60,0.81,True,1398,1,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 10 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_049,Candidate AI 49,Lead AI Engineer,Technology,12,Gurgaon,B.Tech in Computer Science from MIT,"semantic search, faiss, git, python, docker, fastapi, rag systems, vector embeddings",False,30,0.87,True,17,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 12 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_050,Candidate AI 50,Lead AI Engineer,Technology,13,Mumbai,M.Tech in Artificial Intelligence from Delhi Technological University,"numpy, vector embeddings, aws, docker, rag systems, transformers, pinecone, semantic search, deep learning",True,0,0.86,True,733,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 13 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_051,Candidate AI 51,Lead AI Engineer,Technology,15,Chennai,M.S. in Computer Science from MIT,"python, deep learning, tensorflow, sql, aws, faiss, transformers, vector embeddings, pinecone",True,45,0.62,False,22,2,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 15 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_052,Candidate AI 52,Lead AI Engineer,Technology,13,Noida,M.Tech in Artificial Intelligence from VIT University,"tensorflow, semantic search, nlp, rag systems, fastapi, docker",True,90,0.56,False,1149,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 13 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_053,Candidate AI 53,Lead AI Engineer,Technology,13,Bangalore,M.S. in Computer Science from Carnegie Mellon University,"python, faiss, scikit-learn, pytorch, tensorflow, git, llms, qdrant, nlp",True,45,0.72,True,354,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 13 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_054,Candidate AI 54,Lead AI Engineer,Technology,13,Noida,B.Tech in Computer Science from IIT Delhi,"llms, semantic search, weaviate, tensorflow, deep learning, pandas, python, scikit-learn, numpy, faiss",False,30,0.69,False,158,2,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 13 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_055,Candidate AI 55,Lead AI Engineer,Technology,15,Delhi,Dual Degree (B.Tech + M.Tech) in CS from BITS Pilani,"pinecone, llms, docker, faiss, numpy, vector embeddings, rag systems, sql",False,30,0.71,False,549,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 15 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_web_001,Candidate Web 1,Full Stack Engineer,Technology,6,Chennai,B.E. in Information Technology from BITS Pilani,"node.js, html, docker, javascript, git, css, tailwind css",False,0,0.74,True,201,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 6 years of experience designing, building, and deploying robust web applications."
cand_web_002,Candidate Web 2,Senior Full Stack Engineer,Technology,10,Pune,M.Tech in Artificial Intelligence from IIT Delhi,"typescript, react, javascript, docker, redux, mongodb, node.js, redis, css",False,0,0.45,False,414,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 10 years of experience designing, building, and deploying robust web applications."
cand_web_003,Candidate Web 3,Full Stack Engineer,Technology,7,Pune,B.E. in Information Technology from MIT,"typescript, node.js, html, git, graphql, javascript, aws, react, redis",False,60,0.7,True,363,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 7 years of experience designing, building, and deploying robust web applications."
cand_web_004,Candidate Web 4,Frontend Developer,Technology,3,Delhi,M.Tech in Artificial Intelligence from Stanford University,"html, node.js, graphql, mongodb, redis, next.js, javascript",False,90,0.77,False,73,1,Full Stack Developer specializing in React and Node.js,"Software Engineer with 3 years of experience designing, building, and deploying robust web applications."
cand_web_005,Candidate Web 5,Full Stack Engineer,Technology,5,Gurgaon,B.Tech in Computer Science from Stanford University,"postgresql, graphql, git, typescript, docker, node.js, css, next.js, aws",False,15,0.74,True,149,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 5 years of experience designing, building, and deploying robust web applications."
cand_web_006,Candidate Web 6,Senior Full Stack Engineer,Technology,9,Chennai,M.Tech in Artificial Intelligence from MIT,"graphql, node.js, tailwind css, git, docker, express, typescript, postgresql, redis",True,30,0.89,True,430,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 9 years of experience designing, building, and deploying robust web applications."
cand_web_007,Candidate Web 7,Senior Full Stack Engineer,Technology,9,Gurgaon,Dual Degree (B.Tech + M.Tech) in CS from IIT Bombay,"css, html, react, typescript, redux, next.js, docker, postgresql, node.js, tailwind css, aws",False,45,0.52,True,148,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 9 years of experience designing, building, and deploying robust web applications."
cand_web_008,Candidate Web 8,Full Stack Engineer,Technology,5,Gurgaon,M.Tech in Artificial Intelligence from IIT Delhi,"git, redux, javascript, graphql, mongodb, react, postgresql, redis, next.js, css",False,15,0.45,False,233,1,Full Stack Developer specializing in React and Node.js,"Software Engineer with 5 years of experience designing, building, and deploying robust web applications."
cand_web_009,Candidate Web 9,Frontend Developer,Technology,3,Delhi,M.Tech in Artificial Intelligence from VIT University,"redux, css, redis, aws, postgresql, react, node.js, graphql",True,30,0.51,True,492,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 3 years of experience designing, building, and deploying robust web applications."
cand_web_010,Candidate Web 10,Frontend Developer,Technology,2,Pune,B.E. in Information Technology from MIT,"typescript, tailwind css, node.js, redis, docker, redux, git, graphql",True,60,0.47,False,168,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 2 years of experience designing, building, and deploying robust web applications."
cand_web_011,Candidate Web 11,Full Stack Engineer,Technology,5,Bangalore,B.Tech in Computer Science from Stanford University,"tailwind css, git, css, node.js, express, redux, next.js, react, typescript, redis, docker",True,15,0.79,True,222,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 5 years of experience designing, building, and deploying robust web applications."
cand_web_012,Candidate Web 12,Full Stack Engineer,Technology,6,Hyderabad,M.Tech in Artificial Intelligence from IIIT Hyderabad,"javascript, graphql, redis, react, css, next.js, mongodb, docker",False,45,0.64,False,349,1,Full Stack Developer specializing in React and Node.js,"Software Engineer with 6 years of experience designing, building, and deploying robust web applications."
cand_web_013,Candidate Web 13,Full Stack Engineer,Technology,6,Bangalore,M.Tech in Artificial Intelligence from Stanford University,"graphql, rest api, docker, react, next.js, typescript, git, mongodb",False,30,0.74,True,416,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 6 years of experience designing, building, and deploying robust web applications."
cand_web_014,Candidate Web 14,Frontend Developer,Technology,2,Bangalore,M.Tech in Artificial Intelligence from IIT Delhi,"html, redis, redux, graphql, postgresql, javascript, typescript, tailwind css, git",False,60,0.8,False,563,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 2 years of experience designing, building, and deploying robust web applications."
cand_web_015,Candidate Web 15,Full Stack Engineer,Technology,6,Chennai,B.E. in Information Technology from VIT University,"postgresql, next.js, redux, javascript, react, node.js, aws, mongodb, typescript",True,15,0.46,True,326,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 6 years of experience designing, building, and deploying robust web applications."
cand_web_016,Candidate Web 16,Backend Developer,Technology,4,Chennai,Dual Degree (B.Tech + M.Tech) in CS from IIIT Hyderabad,"git, html, tailwind css, express, postgresql, javascript, next.js, react, aws, rest api, graphql",True,15,0.81,True,385,1,Full Stack Developer specializing in React and Node.js,"Software Engineer with 4 years of experience designing, building, and deploying robust web applications."
cand_web_017,Candidate Web 17,Frontend Developer,Technology,2,Gurgaon,Dual Degree (B.Tech + M.Tech) in CS from Stanford University,"redis, css, html, javascript, tailwind css, docker, git, node.js, rest api, react, aws",True,15,0.49,True,412,0,Full Stack Developer specializing in React and Node.js,"Software Engineer with 2 years of experience designing, building, and deploying robust web applications."
